date,category,score
2026-02-27,Arrays,7.2
2026-02-27,BFS / DFS,5.8
2026-02-27,Dynamic Programming,7.0
2026-02-27,Graphs,5.6
2026-02-27,Greedy,6.9
2026-02-27,Hashing,5.5
2026-02-27,Prefix / Running Sum,7.1
2026-02-27,Sliding Window,6.3
2026-02-27,Stack / Queue,6.0
2026-02-27,Two Pointers,6.5
2026-02-27,Union Find,5.2
